,date,temperature_2m
0,2024-04-13 06:00:00+00:00,16.4
1,2024-04-13 07:00:00+00:00,15.45
2,2024-04-13 08:00:00+00:00,15.0
3,2024-04-13 09:00:00+00:00,14.4
4,2024-04-13 10:00:00+00:00,14.5
5,2024-04-13 11:00:00+00:00,13.45
6,2024-04-13 12:00:00+00:00,13.4
7,2024-04-13 13:00:00+00:00,15.0
8,2024-04-13 14:00:00+00:00,17.5
9,2024-04-13 15:00:00+00:00,20.0
10,2024-04-13 16:00:00+00:00,22.0
11,2024-04-13 17:00:00+00:00,23.7
12,2024-04-13 18:00:00+00:00,24.95
13,2024-04-13 19:00:00+00:00,25.8
14,2024-04-13 20:00:00+00:00,26.2
15,2024-04-13 21:00:00+00:00,26.45
16,2024-04-13 22:00:00+00:00,26.5
17,2024-04-13 23:00:00+00:00,25.7
18,2024-04-14 00:00:00+00:00,23.95
19,2024-04-14 01:00:00+00:00,21.95
20,2024-04-14 02:00:00+00:00,20.4
21,2024-04-14 03:00:00+00:00,19.35
22,2024-04-14 04:00:00+00:00,18.45
23,2024-04-14 05:00:00+00:00,17.9
24,2024-04-14 06:00:00+00:00,17.6
25,2024-04-14 07:00:00+00:00,17.55
26,2024-04-14 08:00:00+00:00,17.75
27,2024-04-14 09:00:00+00:00,18.65
28,2024-04-14 10:00:00+00:00,18.3
29,2024-04-14 11:00:00+00:00,17.7
30,2024-04-14 12:00:00+00:00,17.2
31,2024-04-14 13:00:00+00:00,20.0
32,2024-04-14 14:00:00+00:00,21.05
33,2024-04-14 15:00:00+00:00,22.7
34,2024-04-14 16:00:00+00:00,23.5
35,2024-04-14 17:00:00+00:00,24.8
36,2024-04-14 18:00:00+00:00,26.05
37,2024-04-14 19:00:00+00:00,26.7
38,2024-04-14 20:00:00+00:00,28.2
39,2024-04-14 21:00:00+00:00,28.55
40,2024-04-14 22:00:00+00:00,28.25
41,2024-04-14 23:00:00+00:00,27.5
42,2024-04-15 00:00:00+00:00,25.85
43,2024-04-15 01:00:00+00:00,23.85
44,2024-04-15 02:00:00+00:00,22.7
45,2024-04-15 03:00:00+00:00,21.65
46,2024-04-15 04:00:00+00:00,20.8
47,2024-04-15 05:00:00+00:00,20.15
48,2024-04-15 06:00:00+00:00,19.85
49,2024-04-15 07:00:00+00:00,20.3
50,2024-04-15 08:00:00+00:00,19.95
51,2024-04-15 09:00:00+00:00,19.35
52,2024-04-15 10:00:00+00:00,19.4
53,2024-04-15 11:00:00+00:00,19.65
54,2024-04-15 12:00:00+00:00,19.7
55,2024-04-15 13:00:00+00:00,21.3
56,2024-04-15 14:00:00+00:00,21.95
57,2024-04-15 15:00:00+00:00,23.95
58,2024-04-15 16:00:00+00:00,24.45
59,2024-04-15 17:00:00+00:00,24.9
60,2024-04-15 18:00:00+00:00,25.6
61,2024-04-15 19:00:00+00:00,25.85
62,2024-04-15 20:00:00+00:00,26.8
63,2024-04-15 21:00:00+00:00,27.5
64,2024-04-15 22:00:00+00:00,27.4
65,2024-04-15 23:00:00+00:00,27.0
66,2024-04-16 00:00:00+00:00,25.95
67,2024-04-16 01:00:00+00:00,23.6
68,2024-04-16 02:00:00+00:00,23.05
69,2024-04-16 03:00:00+00:00,22.65
70,2024-04-16 04:00:00+00:00,21.9
71,2024-04-16 05:00:00+00:00,21.4
72,2024-04-16 06:00:00+00:00,21.15
73,2024-04-16 07:00:00+00:00,20.45
74,2024-04-16 08:00:00+00:00,20.2
75,2024-04-16 09:00:00+00:00,20.1
76,2024-04-16 10:00:00+00:00,19.85
77,2024-04-16 11:00:00+00:00,20.35
78,2024-04-16 12:00:00+00:00,20.8
79,2024-04-16 13:00:00+00:00,22.05
80,2024-04-16 14:00:00+00:00,22.15
81,2024-04-16 15:00:00+00:00,22.9
82,2024-04-16 16:00:00+00:00,25.65
83,2024-04-16 17:00:00+00:00,26.7
84,2024-04-16 18:00:00+00:00,27.8
85,2024-04-16 19:00:00+00:00,28.9
86,2024-04-16 20:00:00+00:00,28.75
87,2024-04-16 21:00:00+00:00,28.5
88,2024-04-16 22:00:00+00:00,27.0
89,2024-04-16 23:00:00+00:00,27.25
90,2024-04-17 00:00:00+00:00,27.1
91,2024-04-17 01:00:00+00:00,25.35
92,2024-04-17 02:00:00+00:00,24.55
93,2024-04-17 03:00:00+00:00,23.9
94,2024-04-17 04:00:00+00:00,23.3
95,2024-04-17 05:00:00+00:00,22.7
96,2024-04-17 06:00:00+00:00,22.25
97,2024-04-17 07:00:00+00:00,22.3
98,2024-04-17 08:00:00+00:00,22.7
99,2024-04-17 09:00:00+00:00,22.65
100,2024-04-17 10:00:00+00:00,22.65
101,2024-04-17 11:00:00+00:00,22.65
102,2024-04-17 12:00:00+00:00,22.65
103,2024-04-17 13:00:00+00:00,23.35
104,2024-04-17 14:00:00+00:00,23.6
105,2024-04-17 15:00:00+00:00,23.85
106,2024-04-17 16:00:00+00:00,24.35
107,2024-04-17 17:00:00+00:00,25.4
108,2024-04-17 18:00:00+00:00,25.75
109,2024-04-17 19:00:00+00:00,26.45
110,2024-04-17 20:00:00+00:00,27.65
111,2024-04-17 21:00:00+00:00,27.8
112,2024-04-17 22:00:00+00:00,27.15
113,2024-04-17 23:00:00+00:00,27.15
114,2024-04-18 00:00:00+00:00,26.45
115,2024-04-18 01:00:00+00:00,24.45
116,2024-04-18 02:00:00+00:00,23.6
117,2024-04-18 03:00:00+00:00,22.9
118,2024-04-18 04:00:00+00:00,22.6
119,2024-04-18 05:00:00+00:00,22.3
120,2024-04-18 06:00:00+00:00,21.9
121,2024-04-18 07:00:00+00:00,22.0
122,2024-04-18 08:00:00+00:00,22.15
123,2024-04-18 09:00:00+00:00,22.1
124,2024-04-18 10:00:00+00:00,21.95
125,2024-04-18 11:00:00+00:00,22.05
126,2024-04-18 12:00:00+00:00,22.2
127,2024-04-18 13:00:00+00:00,22.95
128,2024-04-18 14:00:00+00:00,22.5
129,2024-04-18 15:00:00+00:00,24.1
130,2024-04-18 16:00:00+00:00,26.2
131,2024-04-18 17:00:00+00:00,27.2
132,2024-04-18 18:00:00+00:00,28.85
133,2024-04-18 19:00:00+00:00,29.45
134,2024-04-18 20:00:00+00:00,30.4
135,2024-04-18 21:00:00+00:00,30.65
136,2024-04-18 22:00:00+00:00,30.45
137,2024-04-18 23:00:00+00:00,30.1
138,2024-04-19 00:00:00+00:00,28.95
139,2024-04-19 01:00:00+00:00,25.55
140,2024-04-19 02:00:00+00:00,24.45
141,2024-04-19 03:00:00+00:00,23.55
142,2024-04-19 04:00:00+00:00,22.55
143,2024-04-19 05:00:00+00:00,21.6
144,2024-04-19 06:00:00+00:00,20.75
145,2024-04-19 07:00:00+00:00,20.55
146,2024-04-19 08:00:00+00:00,20.4
147,2024-04-19 09:00:00+00:00,20.9
148,2024-04-19 10:00:00+00:00,21.4
149,2024-04-19 11:00:00+00:00,21.35
150,2024-04-19 12:00:00+00:00,21.3
151,2024-04-19 13:00:00+00:00,21.65
152,2024-04-19 14:00:00+00:00,22.65
153,2024-04-19 15:00:00+00:00,23.3
154,2024-04-19 16:00:00+00:00,23.7
155,2024-04-19 17:00:00+00:00,24.35
156,2024-04-19 18:00:00+00:00,25.4
157,2024-04-19 19:00:00+00:00,26.2
158,2024-04-19 20:00:00+00:00,26.45
159,2024-04-19 21:00:00+00:00,26.75
160,2024-04-19 22:00:00+00:00,27.3
161,2024-04-19 23:00:00+00:00,26.2
162,2024-04-20 00:00:00+00:00,25.35
163,2024-04-20 01:00:00+00:00,23.65
164,2024-04-20 02:00:00+00:00,22.45
165,2024-04-20 03:00:00+00:00,21.75
166,2024-04-20 04:00:00+00:00,21.85
167,2024-04-20 05:00:00+00:00,22.0
168,2024-04-20 06:00:00+00:00,21.8
169,2024-04-20 07:00:00+00:00,21.45
170,2024-04-20 08:00:00+00:00,21.25
171,2024-04-20 09:00:00+00:00,21.4
172,2024-04-20 10:00:00+00:00,21.4
173,2024-04-20 11:00:00+00:00,21.4
174,2024-04-20 12:00:00+00:00,21.0
175,2024-04-20 13:00:00+00:00,21.95
176,2024-04-20 14:00:00+00:00,22.7
177,2024-04-20 15:00:00+00:00,24.35
178,2024-04-20 16:00:00+00:00,25.75
179,2024-04-20 17:00:00+00:00,26.65
180,2024-04-20 18:00:00+00:00,24.65
181,2024-04-20 19:00:00+00:00,23.85
182,2024-04-20 20:00:00+00:00,23.55
183,2024-04-20 21:00:00+00:00,21.55
184,2024-04-20 22:00:00+00:00,20.35
185,2024-04-20 23:00:00+00:00,18.5
186,2024-04-21 00:00:00+00:00,18.6
187,2024-04-21 01:00:00+00:00,14.05
188,2024-04-21 02:00:00+00:00,14.65
189,2024-04-21 03:00:00+00:00,14.15
190,2024-04-21 04:00:00+00:00,14.2
191,2024-04-21 05:00:00+00:00,13.85
192,2024-04-21 06:00:00+00:00,12.9
193,2024-04-21 07:00:00+00:00,12.0
194,2024-04-21 08:00:00+00:00,11.4
195,2024-04-21 09:00:00+00:00,11.3
196,2024-04-21 10:00:00+00:00,11.25
197,2024-04-21 11:00:00+00:00,11.4
198,2024-04-21 12:00:00+00:00,11.5
199,2024-04-21 13:00:00+00:00,11.2
200,2024-04-21 14:00:00+00:00,11.9
201,2024-04-21 15:00:00+00:00,13.5
202,2024-04-21 16:00:00+00:00,15.4
203,2024-04-21 17:00:00+00:00,16.4
204,2024-04-21 18:00:00+00:00,17.35
205,2024-04-21 19:00:00+00:00,19.3
206,2024-04-21 20:00:00+00:00,19.1
207,2024-04-21 21:00:00+00:00,19.65
208,2024-04-21 22:00:00+00:00,19.4
209,2024-04-21 23:00:00+00:00,19.1
210,2024-04-22 00:00:00+00:00,17.8
211,2024-04-22 01:00:00+00:00,16.3
212,2024-04-22 02:00:00+00:00,15.25
213,2024-04-22 03:00:00+00:00,14.75
214,2024-04-22 04:00:00+00:00,14.05
215,2024-04-22 05:00:00+00:00,13.2
216,2024-04-22 06:00:00+00:00,12.55
217,2024-04-22 07:00:00+00:00,11.95
218,2024-04-22 08:00:00+00:00,11.35
219,2024-04-22 09:00:00+00:00,11.0
220,2024-04-22 10:00:00+00:00,10.6
221,2024-04-22 11:00:00+00:00,9.95
222,2024-04-22 12:00:00+00:00,9.55
223,2024-04-22 13:00:00+00:00,11.2
224,2024-04-22 14:00:00+00:00,13.25
225,2024-04-22 15:00:00+00:00,15.4
226,2024-04-22 16:00:00+00:00,17.45
227,2024-04-22 17:00:00+00:00,18.85
228,2024-04-22 18:00:00+00:00,19.7
229,2024-04-22 19:00:00+00:00,20.4
230,2024-04-22 20:00:00+00:00,20.85
231,2024-04-22 21:00:00+00:00,21.1
232,2024-04-22 22:00:00+00:00,20.9
233,2024-04-22 23:00:00+00:00,20.45
